Title,Production type,Status,Origin,Market presence,Age of production,Web page Link,Image Link
Wicked,Musical,Active,Original,USA,"Oct 08, 2003",https://www.ibdb.com/broadway-production/wicked-13485,https://www.broadway.org/assets/shows/wicked-1000x1000.jpg?width=2000&quality=80&fit=scale-down
Art,Play,Upcoming,Revival,USA,"Aug 28, 2025",https://www.ibdb.com/broadway-production/art-543123,https://www.broadway.org/assets/shows/art-2025.png?width=2000&quality=80&fit=scale-down
Becky Shaw,Play,Upcoming,Original,USA,"Mar 18, 2026",https://www.ibdb.com/broadway-production/becky-shaw-543148,https://s.ibdb.com/Images/stub/stub-prod-play.png
Beetlejuice,Musical,Upcoming,Original,USA,,https://www.ibdb.com/broadway-production/beetlejuice-543150,https://s.ibdb.com/Images/stub/stub-prod-musical.png
Mamma Mia!,Musical,Upcoming,Comedy,USA,"Aug 02, 2025",https://www.ibdb.com/broadway-production/mamma-mia-542316,https://www.broadway.org/assets/shows/mamma-mia-2025_2025-03-14-153547_snju.jpg?width=2000&quality=80&fit=scale-down
Marjorie Prime,Play,Upcoming,Original,USA,"Nov 20, 2025",https://www.ibdb.com/broadway-production/marjorie-prime-543147,https://s.ibdb.com/Images/stub/stub-prod-play.png
Ragtime,Musical,Upcoming,Drama,USA,"Sep 26, 2025",https://www.ibdb.com/broadway-production/ragtime-543058,https://www.broadway.org/assets/shows/ragtime-2025.png?width=2000&quality=80&fit=scale-down
The Queen of Versailles,Musical,Upcoming,Original,USA,"Oct 08, 2025",https://www.ibdb.com/broadway-production/the-queen-of-versailles-542343,https://s.ibdb.com/Images/stub/stub-prod-musical.png
Waiting for Godot,Play,Upcoming,Drama,USA,"Sep 13, 2025",https://www.ibdb.com/broadway-production/waiting-for-godot-542653,https://www.broadway.org/assets/shows/waiting-for-godot-2025.jpg?width=2000&quality=80&fit=scale-down
& Juliet,Musical,Active,National Tour,USA,"Sep 22, 2024",https://www.ibdb.com/tour-production/-juliet-539748,https://www.ibdb.com/Cache/Production/c2123dff7da893d88e94a17e8acd507c80de9d8f.jpg
"A Beautiful Noise, The Neil Diamond Musical",Musical,Active,National Tour,USA,"Sep 21, 2024",https://www.ibdb.com/tour-production/a-beautiful-noise-the-neil-diamond-musical-539750,https://www.ibdb.com/Cache/Production/0158bc5b4065c5b472272eef6ed22e52f8dbcd47.jpg
Back to the Future: The Musical,Musical,Active,National Tour,USA,"Jun 06, 2024",https://www.ibdb.com/tour-production/back-to-the-future-the-musical-538640,https://www.ibdb.com/Cache/Production/0ab894ccb9dc40f247799a74c7914573a1b688f1.jpg
Beetlejuice,Musical,Active,National Tour,USA,"Dec 07, 2022",https://www.ibdb.com/tour-production/beetlejuice-534533,https://www.ibdb.com/Cache/Production/670090405dff0c71ba9f58d07ab66b51a0ace169.jpg
